source,budget,seed,custom_ppo_loss,validation_static_loss,feasible_static_loss,round_robin_loss,aoi_loss,random_loss,best_original_fair_policy,best_original_fair_loss,best_constrained_policy,best_constrained_loss,win_validation_static,win_feasible_static,win_best_original_fair,win_best_constrained,always_on_sensor_count,always_off_sensor_count,mid_duty_sensor_count,switches_per_step
base_no_warmup,1.7,47,0.13092485909085858,0.1556890352518773,0.1556890352518773,0.1243214806636388,0.13313223313950098,0.13575615422693468,round_robin,0.1243214806636388,,,True,True,False,,1,3,4,0.17532150415106626
base_no_warmup,1.7,48,0.12197895931634169,0.12281529630763544,0.12281529630763544,0.11696817586501614,0.11709382420728313,0.1190791164493324,round_robin,0.11696817586501614,,,True,True,False,,1,3,4,0.15949047696565197
base_no_warmup,1.7,49,0.12214647516096495,0.15229531925797346,0.15229531925797346,0.11696415250177476,0.11562551366235614,0.11936765731813163,aoi,0.11562551366235614,,,True,True,False,,1,3,4,0.12156112648543058
base_no_warmup,1.7,50,0.1253122496367117,0.13398492883728372,0.13398492883728372,0.12768732655786152,0.12899107482917316,0.13180779881683216,round_robin,0.12768732655786152,,,True,True,True,,1,3,4,0.1864317108904444
base_no_warmup,1.75,41,0.12657568368225233,0.1447492428321008,0.1447492428321008,0.11507163811529608,0.11858778380549968,0.12176902372751404,round_robin,0.11507163811529608,,,True,True,False,,1,3,2,0.07451570893700146
base_no_warmup,1.75,42,0.1476188454965571,0.14626992198888425,0.14626992198888425,0.14717753095889444,0.15152332160747997,0.1548931173517,validation_selected_static,0.14626992198888425,,,False,False,False,,1,3,4,0.16054859189321177
base_no_warmup,1.75,43,0.13408166691078804,0.13765311633111801,0.16041414342240992,0.13550022837625875,0.13593744566120827,0.13712958039832301,round_robin,0.13550022837625875,,,True,True,True,,1,3,4,0.15505453361549731
base_no_warmup,1.75,44,0.13572970170268187,0.14458269172124952,0.14458269172124952,0.1375224538223847,0.138530303519777,0.13924551781807773,round_robin,0.1375224538223847,,,True,True,True,,0,2,4,0.1099218622822725
base_no_warmup,1.75,45,0.12814633868098704,0.15203521691182686,0.15203521691182686,0.1279084086503038,0.13127055205344126,0.13427781702618327,round_robin,0.1279084086503038,,,True,True,False,,1,3,4,0.1361305551033697
base_no_warmup,1.75,46,0.1389053279217478,0.14334054751998337,0.14334054751998337,0.14067797835741658,0.1372471375780151,0.14057258185008928,aoi,0.1372471375780151,,,True,True,False,,1,3,4,0.1573742471105323
base_no_warmup,1.75,47,0.12883277882277375,0.15142361022117257,0.15142361022117257,0.12479468014741239,0.13328928150682864,0.1351963525694373,round_robin,0.12479468014741239,,,True,True,False,,1,3,4,0.18740843236203808
