station_id,rows,temperature_c_mean,temperature_c_std,temperature_c_missing,pressure_hpa_mean,pressure_hpa_std,pressure_hpa_missing,wind_speed_ms_mean,wind_speed_ms_std,wind_speed_ms_missing,wind_dir_deg_mean,wind_dir_deg_std,wind_dir_deg_missing,relative_humidity_pct_mean,relative_humidity_pct_std,relative_humidity_pct_missing,cluster,pca1,pca2
Apfel,4480.0,-9.733540419161676,7.267342049683913,0.4035714285714286,967.1587240042297,9.71427374795693,0.36674107142857143,6.8661622966688824,4.199626637025098,1.0,135.3666485605649,84.77800137719542,0.5890625,61.94041944709247,15.080036866295613,0.5316964285714286,3,0.2671960562087312,2.029635061513565
Arelis,93272.0,-15.882209877535093,9.009905384029027,0.06588257998113045,969.8066253385892,10.377413599310369,0.026310146667810275,9.327961221361395,7.8130868595536365,0.7412192297795694,208.49363553167973,69.26430042859931,0.09791791748863539,60.394756247439574,18.179030655303567,0.4765846127455185,1,1.6787043805590858,0.6412721588718979
Asgard,8520.0,-23.844642356241234,7.022322985047572,0.16314553990610328,801.1915248098514,10.00369507342915,0.027816901408450705,3.522862652667667,3.5912944985779958,0.45223004694835683,187.64617257647237,86.26940948195566,0.22875586854460095,69.24367468500381,11.900413577451879,1.0,0,0.6482788636057399,-0.8278778601955566
AuroraBN,21240.0,-43.560478139134176,13.404850002555435,0.3442090395480226,693.3554931877328,8.954230826927308,0.07735404896421845,5.887549259772073,2.1399574345121923,0.5579566854990584,257.0432960893855,129.2235202318172,0.5954802259887005,69.24367468500381,11.900413577451879,1.0,2,-1.9348157009832914,-0.9355280890981758
Austin,17296.0,-24.705895965388873,9.49076382368543,0.4253584643848289,833.6620488140255,9.964611472663691,0.3272432932469935,7.805550239234451,4.4628566597951025,0.4562326549491212,151.8690009055237,92.5981431989108,0.4253584643848289,77.66272719441814,6.794376944821144,0.328804347826087,3,-0.24985032767897697,-0.25038463439333175
B9Berg,7816.0,-16.735041611914152,11.28646740152631,0.41581371545547596,980.9188998327447,10.728205085922585,0.31154042988741043,11.118989205103043,6.9522435842930275,0.47850562947799385,202.05012727628744,63.18592453254108,0.34659672466734903,69.24367468500381,11.900413577451879,1.0,1,0.08400628943784744,1.2479895260660958
Backer Island,14560.0,-11.567053175106441,8.859119059428586,0.24182692307692308,973.8670695364237,11.985883949296202,0.17032967032967034,6.141785329663755,4.286627828841317,0.42603021978021977,137.2814093648586,94.32852994620306,0.25927197802197804,81.35226351071753,8.1497201111754,0.17012362637362638,0,2.1631817446949104,-0.20931477574104157
Baldrick,40912.0,-26.315737433018626,7.31616099108989,0.6168361360969886,760.6780897658283,8.562041886264112,0.09816190848650763,8.213023134910319,3.117551363707897,0.15372017989831835,83.12050127613203,41.95779956657767,0.14765838873680093,57.10973892637137,12.645695289241354,0.08342295658975361,2,-0.7078358296694462,-1.9896258151814021
Bean Peaks,1624.0,-21.487708649468896,9.129788074267315,0.18842364532019704,877.087962382445,11.02250261570684,0.017857142857142856,4.137782805429865,4.730798114231911,0.45566502463054187,224.93830334190233,95.69566342394019,0.2814039408866995,80.00256892230577,8.561958564623598,0.017241379310344827,0,1.8868846023943042,-0.9840311802531069
Bear Peninsula,32144.0,-13.843907420013615,7.252412526202648,0.26879044300647087,927.306137359961,12.619070834762164,0.23357391737182678,8.155416879795396,7.419866779670342,0.6958997013439522,114.42263575350823,87.92711100938513,0.49010701841712295,78.97955651455331,15.751161438409166,0.3223618715778995,3,1.8891381922504145,1.7280264637107403
Bennett Nunatak,20624.0,-20.122102017634013,7.214158774847788,0.10361714507370054,816.5204089638602,9.187306723665097,0.01120054305663305,5.790386136478033,4.1097613559174215,0.32568851823118694,119.18565907666597,91.10543846699298,0.07156710628394104,59.148359731280344,14.707885344669254,0.01120054305663305,0,1.5222950328617886,-2.0516892001329987
Bonaparte Point,74016.0,-2.324345967925977,4.363065417130785,0.34877594033722437,961.0540752131974,14.124356529994575,0.9033587332468656,4.208934531450579,3.535715869657585,0.5790099437959361,154.4972914963205,106.562942938861,0.4712494595763078,81.48538500324138,12.073743770894435,0.6248648940769563,3,1.910746615851748,2.943428700698483
Bowers,1944.0,-28.3728,10.670562009085726,0.6784979423868313,752.6190406976744,8.305278005372354,0.6460905349794238,6.286467486818982,4.039249729796718,0.7073045267489712,189.69406392694063,51.17306102897476,0.6620370370370371,44.9100145137881,7.445384564139625,0.6455761316872428,2,-3.240201183110686,0.5498146419339628
Brianna,61848.0,-21.934908613551446,10.439128288815672,0.5196449359720605,921.3304241374116,10.503758063416461,0.5707541068425818,7.595069361870789,3.837056781142364,0.5920644159875824,76.94849194838038,54.140601795413964,0.5652405898331393,69.19381096343619,13.536247588343453,0.7165470184969603,3,-1.2007289392423581,1.166791895264196
Brimstone Peak,26760.0,-26.048330622378224,6.825085672664132,0.12698056801195814,740.2815185043877,9.923526252810827,0.02055306427503737,6.852664739884393,4.641862629707291,0.35351270553064273,157.76449384199458,63.0308514165044,0.12918535127055306,64.28470431133155,18.774559407958616,0.02055306427503737,0,1.319487160628648,-1.6227752089431846
BrownGl,5352.0,-1.4972329103561195,3.697944838093604,0.5435351270553064,868.1840416341008,10.311997785696992,1.0,3.255,2.5220495984843736,0.9850523168908819,252.79518072289156,71.3923817477277,0.98449177877429,80.18254637436762,16.15078095973705,0.5568011958146487,3,-0.04485136907208548,4.131176700028571
Buckle Island,4624.0,-10.765029702970297,5.819895998261085,0.4539359861591695,923.4052953698776,10.791307839774134,0.18728373702422146,7.0582802547770696,4.432202616783476,0.9320934256055363,190.77567567567567,120.27045382200218,0.9199826989619377,69.24367468500381,11.900413577451879,1.0,3,0.31094798962860903,2.9050886681862154
Bumstead Nunatak,17232.0,-33.64612339783865,7.974510014970552,0.07636954503249768,689.6278597560977,9.951085199351938,0.04828226555246054,9.587303851640515,4.361795201523965,0.8779596100278552,91.23156942559928,52.8409011181178,0.8716922005571031,68.74042073170732,5.242049695595728,0.04828226555246054,2,-0.9804105545898937,-0.5491535783629443
Butcher Ridge,38168.0,-29.36142373118167,9.71559980502253,0.2499214001257598,751.9855057409956,9.558113613041604,0.06673129322993084,6.099950702489524,5.115989103346118,0.46853385034583944,198.9341021416804,65.65390669493911,0.3320582687067701,65.5459672665001,12.642942177157261,0.06673129322993084,0,0.10408566329142441,-1.2943788457431582
Butler Island,75496.0,-17.395317472604976,9.762792923839285,0.2300121860760835,975.1768325667394,11.556888449204653,0.13318586415174313,4.818963314049395,3.6735997450684943,0.4298903253152485,206.96647430612805,85.02570716880535,0.37338402034544876,80.98648837860543,10.017468088030276,0.8107979230687719,0,1.184565730730227,0.2676088638174112
Byrd,122728.0,-26.449984257753055,11.007961446708,0.37888664363470437,807.7553992552752,10.616805330297494,0.21224170523433936,7.100934868051656,3.612342539648819,0.41952936575190664,137.59257453895523,150.1005645302556,0.39823023270973207,75.87355033856942,6.048521712850042,0.7629473306824849,3,-0.5777251695143829,-0.30843717864456094
Cape Adams,10952.0,-23.854091591591594,11.27558676919888,0.2702702702702703,982.2720404464371,12.003993385077168,0.042823228634039444,3.585052588996764,2.4574898987654583,0.5485756026296567,202.49930045470444,100.14757651534268,0.4779035792549306,69.24367468500381,11.900413577451879,1.0,3,0.7687014500381169,0.18301458775892523
